candidato,votos_actuales,intencion_nacional,votos_proyectados,incremento,intencion_proyectada
FUERZA POPULAR,2687151,17.06,2713438,26287,17.05
JUNTOS POR EL PERÚ,1891502,12.01,1921444,29942,12.07
RENOVACIÓN POPULAR,1878134,11.92,1888963,10829,11.87
PARTIDO DEL BUEN GOBIERNO,1743023,11.06,1755576,12553,11.03
PARTIDO CÍVICO OBRAS,1601645,10.17,1619418,17773,10.18
PARTIDO PAÍS PARA TODOS,1242229,7.88,1253325,11096,7.88
AHORA NACIÓN - AN,1157744,7.35,1170320,12576,7.35
"PRIMERO LA GENTE – COMUNIDAD, ECOLOGÍA, LIBERTAD Y PROGRESO",540491,3.43,545083,4592,3.43
PARTIDO SICREO,531779,3.38,536513,4734,3.37
PARTIDO FRENTE DE LA ESPERANZA 2021,291354,1.85,294871,3517,1.85
PODEMOS PERÚ,249146,1.58,252606,3460,1.59
PARTIDO POLÍTICO COOPERACIÓN POPULAR,204768,1.3,207562,2794,1.3
ALIANZA PARA EL PROGRESO,178024,1.13,180291,2267,1.13
PARTIDO APRISTA PERUANO,150908,0.96,152241,1333,0.96
PARTIDO DEMOCRÁTICO SOMOS PERÚ,141299,0.9,143112,1813,0.9
PARTIDO PATRIÓTICO DEL PERÚ,135548,0.86,137135,1587,0.86
PARTIDO POLÍTICO PERÚ PRIMERO,134844,0.86,136810,1966,0.86
ALIANZA ELECTORAL VENCEREMOS,132495,0.84,134127,1632,0.84
UN CAMINO DIFERENTE,118105,0.75,119092,987,0.75
PARTIDO DEMÓCRATA UNIDO PERÚ,111932,0.71,113504,1572,0.71
PARTIDO POLÍTICO NACIONAL PERÚ LIBRE,93883,0.6,95182,1299,0.6
PARTIDO MORADO,77209,0.49,77904,695,0.49
UNIDAD NACIONAL,63769,0.4,64258,489,0.4
PROGRESEMOS,62082,0.39,62823,741,0.39
PARTIDO POLÍTICO INTEGRIDAD DEMOCRÁTICA,59940,0.38,60453,513,0.38
PARTIDO DEMÓCRATA VERDE,59701,0.38,60412,711,0.38
LIBERTAD POPULAR,38341,0.24,38721,380,0.24
AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,30679,0.19,30985,306,0.19
PARTIDO POLÍTICO PERÚ ACCIÓN,29467,0.19,29796,329,0.19
FUERZA Y LIBERTAD,25494,0.16,25764,270,0.16
FE EN EL PERÚ,21817,0.14,22093,276,0.14
PARTIDO DEMOCRATICO FEDERAL,20356,0.13,20575,219,0.13
SALVEMOS AL PERÚ,16389,0.1,16596,207,0.1
PARTIDO POLÍTICO PRIN,13617,0.09,13750,133,0.09
PARTIDO DE LOS TRABAJADORES Y EMPRENDEDORES PTE - PERÚ,10725,0.07,10830,105,0.07
PERÚ MODERNO,9124,0.06,9211,87,0.06
